date,inst_f buy,inst_t buy,inst_txf_net,inst_txf_oi,inst_mtx_net,inst_mtx_oi,txf_open,txf_high,txf_low,txf_close,txf_volume,tse_open,tse_high,tse_low,tse_close,tse_volume,PutCallVol,PutCallRatio
2022/5/27,20334855701,-68471209,4699,9212,14543,9398,16110,16245,16100,16230,83346,16075.91,16266.22,16075.91,16266.22,2194.44,116.28,108.1
2022/5/30,27582387175,3078496037,-2220,6992,1376,10770,16400,16584,16391,16560,81262,16368.93,16610.62,16368.93,16610.62,2560.35,113.34,129.19
2022/5/31,23246590213,958835313,-725,7991,5708,9582,16492,16716,16460,16682,108041,16561.68,16807.77,16493.07,16807.77,3872.62,106.62,135.23
2022/6/1,-10093241811,748692580,-567,7434,-5913,3765,16647,16755,16592,16610,95150,16718.91,16811.04,16649.91,16675.09,2528.53,97.01,103.63
2022/6/2,-8497223298,-1582712999,2823,10257,57,3822,16536,16585,16471,16532,80160,16605.46,16617.26,16540.55,16552.57,2131.24,107.44,99.94
2022/6/6,-2224422242,1120734927,-1729,8528,-645,3177,16590,16648,16463,16600,98914,16570.89,16654.12,16509.01,16605.96,2102.83,105.4,105.68
2022/6/7,-15921612560,1628449518,-860,6617,-7814,-433,16520,16531,16406,16462,101451,16593.75,16593.75,16465.87,16512.88,1872.26,92.55,99.09
2022/6/8,4399163647,631995677,3000,9587,8841,8739,16560,16693,16555,16644,80944,16538.67,16702.99,16538.67,16670.51,2089.93,117.46,107.31
2022/6/9,-10004767187,-168029212,-1686,7904,-6495,2232,16573,16606,16524,16582,67567,16643.95,16643.95,16557.54,16621.34,1942,110.11,104.9
2022/6/10,-18553237521,-953734005,-990,6910,-3743,-1495,16380,16486,16350,16471,85493,16581.81,16581.81,16403.33,16460.12,1851.26,96.99,98.6
2022/6/13,-48034287106,625439169,-2069,4790,-6244,-7535,16115,16120,15993,16053,129042,16295.07,16295.07,16055.89,16070.98,2292.58,85.38,87.18
2022/6/14,-23692289661,-1920641666,-2703,2073,-2240,-9719,15950,16068,15841,16055,125318,15975.17,16067.8,15869.06,16047.37,2266.98,97.91,86.95
2022/6/15,-19177907781,-290917890,-1386,-6298,-5423,-7224,16052,16096,15989,16062,62610,16025.84,16106.75,15981.56,15999.25,2230.53,93.86,84.63
2022/6/16,647957743,427118259,-207,-6478,-1437,-8769,15751,15805,15382,15410,127119,16098.29,16209.25,15838.29,15838.61,2723.45,89.35,85.08
2022/6/17,-17670385980,-3082213338,-6486,-12964,-6562,-15331,15196,15300,15137,15200,124040,15794.16,15794.16,15573.38,15641.26,3078.77,105.96,79.95
2022/6/20,-8505754245,475290130,-1719,-14683,-3737,-19068,15182,15231,14966,15038,129690,15649.2,15667.68,15367.58,15367.58,2649.9,84.4,73.28
2022/6/21,18170796119,142946172,-4208,-18894,7853,-11203,15164,15362,15115,15334,115396,15427.33,15728.64,15427.33,15728.64,2389.98,116.03,89.13
2022/6/22,-22436554266,98346134,2318,-16592,-8812,-19427,15316,15319,14984,15012,128332,15687.46,15687.46,15346.95,15347.75,2785.32,89.19,68.51
2022/6/23,-8305330529,-497977880,-1476,-18068,-888,-20315,15059,15145,14804,14938,164479,15305.51,15380.28,15102.4,15176.44,2837.49,93.66,69.31
2022/6/24,-2933036207,2090897156,2575,-18476,5375,-3008,15006,15142,14959,15058,119812,15232.34,15424.37,15232.34,15303.32,2307.97,84.27,74.5
